Attribute;Sentiment
person;-10.868257631633847
Food;-9.153592493172429
people;-3.176464504912382
Buffet;-2.514360313481039
texture;-2.151057333098354
attitude;-1.5729166666666665
fish body;-1.3849374211792411
meat;-1.384904059961813
view;-1.2039133786917333
workers;-1.1860008379978144
crab with.The crab rangoon;-1.0416666666666667
favorite;-0.9994433493940722
way;-0.9635079050028811
store;-0.9475850340136056
service;-0.6221424400495666
consumption;-0.6136575403508576
taste;-0.5629379503087416
day.Absolutely;-0.5
Panda Panda Panda Express;-0.46368281353682816
chicken wings;-0.4518022797695972
digits;-0.4417546909786396
combination;-0.405163805531743
floors;-0.40462389216503447
school;-0.3849807501241924
table pepper;-0.3605163249648171
UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE Robyn UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE N;-0.3486151461236629
miles;-0.29306673127685895
slivers;-0.2731337217179245
matter;-0.25
ice ice ice us ice ice ice tea;-0.1782827174735835
menu;-0.14689781021897808
day;-0.11196186085608377
office;-0.06000000000000001
note;-0.02256719883014696
reason;0.0
MONEY;0.0
food fix;0.0
american;0.0
problem;0.0
goodies;0.0
occasions;0.0
mistake;0.10329447911112895
parking;0.13475052603434046
not rib;0.17085629872386912
side;0.19757796947577966
expectations;0.20833333333333334
colors;0.23722627737226276
leftovers;0.375
word;0.38999999999999996
woman;0.592392886240884
rate;0.6337632198238539
ratings;0.7306845656344112
hand;0.8540363636310806
decision;0.865699420107098
item;0.8959976604343647
music;1.473523407730027
mama;1.8382506887052346
flavors;2.1437153466043175
Building;2.187042025715124
container;2.4464855964257803
meal;2.45682724299401
idea;3.1573562102785173
time;3.25101339384868
condition;4.160966749733825
buffet stuff;11.12056124547239
