Attribute;Sentiment
potatoes;-9.976869125941034
chain location;-7.641729313686071
way;-2.9086866950440236
Buffet;-2.514360313481039
people;-1.9041090605683173
person;-1.8088460941836182
workers;-1.1860008379978144
favorite;-0.9994433493940722
samples;-0.9101031000140272
years;-0.8818295373400513
grief guys;-0.8725256343983507
dish;-0.69711027283371
UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE Robyn UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE N;-0.6747435420160288
consumption;-0.6625345291629113
idea;-0.6500921005767015
skin;-0.6467337388002243
avocado;-0.6434693651846938
side;-0.5113636363636364
Orange Chicken;-0.4134706709410878
table pepper;-0.3605163249648171
toppings;-0.36000000000000004
drier;-0.27212001752080595
onion garnish;-0.20620437956204382
pieces;-0.1240476744020733
fish tank;-0.04063324288077178
evening;-0.005000000000000003
reason;0.0
gripe;0.0
food setting;0.02181276249830646
noon;0.04545454545454546
booths;0.0611411137606957
chicken billing;0.0780532598714417
decision;0.08399792218767899
not rib;0.12408759124087591
crab legs;0.12425938181838204
styrofoam;0.125
layout;0.12741157076130974
ratings;0.16774661532566948
fingerprints;0.20661236532021993
puddle;0.375
digits;0.4771460040983927
day;0.5629002501300763
portion size;0.5795454545454546
woman;0.592392886240884
music;0.6337632198238539
ceilings;0.708941605839416
inside;0.708941605839416
deal;0.7370576989349829
item;0.8959976604343647
cleanliness;1.026053762947156
soup;1.031807321535902
facility;1.1781937929433852
part;2.037121319239957
plus;2.2027244274226887
Fortune cookie;2.633763219823854
occasions;3.25101339384868
condition;3.3037599486850535
