Attribute;Sentiment
times;-6,817568998961303
produce;-6,441847514989256
quantities;-5,2890115155160125
hair;-3,9077392292483037
judgment;-3,87149437745563
way;-3,071433263755983
person;-2,797566676367464
attitude;-2,781289600096537
locations;-2,7494336393593377
cleaning;-2,692775468462461
array;-2,677081684056557
night;-2,0949941358249515
method;-2,0214876251820924
floor;-1,783678157242727
rating;-1,6818525221087421
result;-1,6528218963767511
jurors;-1,6276159554730985
business;-1,5909801249812734
father;-1,436868686868687
interest;-1,1028617509806156
kid;-1,0552222073018278
gathering;-1,0399015089273194
bite;-1,0257818716063318
order;-0,8554269608362876
example;-0,776275778631742
letters;-0,7726749867095153
institution;-0,6816511811825319
restaurant building;-0,6807191269391041
chair;-0,6741494919509684
class;-0,6650000000000001
line;-0,5947201701958429
attempt;-0,5912727272727273
water;-0,5167806988461687
someone;-0,436868686868687
man;-0,43209857621354075
end;-0,3958567585412799
standards;-0,34561197729424314
beverages;-0,30477445733049907
kind;-0,280859467123209
Brother;-0,27170552088887107
matter;-0,25
diet needs;-0,2395209088023077
peach blossom peach bun;-0,23106060606060608
whiff;-0,19391797017445894
expectations;-0,1707368016980536
diversity;-0,14670552088887107
sense;-0,04893819114711029
environment;-0,03719040968639195
sessions;-0,032846715328467155
spots;-0,012036895799843988
community;0,0
parade;0,0
majority;0,0
children;0,021897810218978103
lamp;0,041666666666666664
try;0,051020408163265314
poop;0,06554178145087236
clue;0,10204081632653063
population;0,10329447911112895
finish;0,10329447911112895
door;0,11685182012918083
chatter;0,11844724618447247
chop houses;0,1284013605442177
art;0,14369263911965674
word;0,21418618787113658
run;0,2297727971137571
state;0,25
mind;0,2718860653408242
improvement;0,3181818181818182
waste;0,36922141119221413
music;0,4023093686781877
country;0,4306518717216365
idea;0,44716481580802064
pepper batter;0,47321752935179606
consumption;0,4956287361432111
goodies;0,55222681359045
call;0,555239517116801
refrigerator;0,5564117758190965
DO NOT DO WASTE;0,5745110544217688
NY style NY Chinese;0,5803125510958271
cleaners;0,625
weekday;0,6745256253527375
cause;0,6847836279871192
Family Meal;0,6950000000000002
years;0,6996322892175136
dissatisfaction;0,7010940657956417
facility;0,7264582135324131
opportunity;0,7450000000000001
friends;0,760241537826482
pork balls;0,768172478428784
film;0,8357299249815078
shops;0,8770408393758105
cities;0,880665470793232
rag;0,9389327655428404
forte;0,9813909570501312
king;1,0
weather;1,091610028604262
collection;1,1174298147918755
help;1,125
amount;1,1371601042358823
past;1,1538686131386862
girl;1,1839318156812735
1s;1,1852954637874424
not luck;1,2587632198238539
note;1,4557708656639836
temperature;1,4692104570356617
pick;1,7620911554796697
job;1,7709028670920828
rice concoction;1,8887656246334406
battle;2,162279754399747
icecream;2,273763219823854
gentleman;2,358196472019465
rate;2,3811628032840715
occurrence;2,494252494574487
meals;2,6809461100218637
mama;2,7277961432506888
opening;2,762223907403831
appearance;3,043840015997488
portions;3,149644180775826
areas;3,517381716888764
dining room;3,759043926719836
partner;3,8255189853644636
meat;4,077716678626839
no comment;4,086621950196914
number;4,355834588827721
trips;4,664190238528073
health board;5,267526439647708
workers;5,679087193108705
spring rolls;6,5508957221607265
value;6,663887854238773
flavor;7,3747703871517665
people;7,817919095306487
things;7,932706204553008
stuff;8,504514635352681
China Place;8,816432238966465
container;8,824281610863311
service;9,03235989142271
woman;9,982614170809255
tissue;10,148443232554667
prices;10,167465291447273
buffets;11,228232644295117
waiter;11,816217485245275
move;12,089707992076569
staff;12,515225833772897
Mongolian Grill;14,183537940052457
Soup;19,995366267240076
Food;90,16326514682328
