Attribute;Sentiment
headache-I;-1.5
focus;-1.2494433493940722
nIt;-1.21875
view;-1.2039133786917333
NEVER GOING NEVER THERE;-1.1952554744525548
dude;-1.1092883211678832
witness;-1.005
step;-0.8659747990105133
drinking tapwater;-0.805
egg;-0.6831659897470714
turn;-0.6291555617898724
snarl;-0.625
tons;-0.5849116161616161
frenzy;-0.5629251700680272
entryway;-0.5481254048958447
attitude;-0.5257920738016012
charges;-0.5113636363636364
DINING EXPERIENCE DINING EVER;-0.5
wait;-0.46883111997678484
food residue;-0.4583333333333333
pita;-0.4518022797695972
opinion;-0.4491367976837426
pain;-0.4081632653061225
burger;-0.4059011398847986
stomach;-0.40081298242079866
business;-0.39774503124531835
pier;-0.3805605777896435
shops;-0.36000000000000004
alright;-0.3503401360544218
not bones;-0.3425040534292315
rest;-0.3366551158243009
shade;-0.3333333333333333
plants;-0.32954545454545453
packets;-0.31606000876040297
pea;-0.3075673922090869
standards;-0.29869489229101753
bone chip;-0.2731337217179245
mins;-0.27272727272727276
hall;-0.27212001752080595
b;-0.27126222806249084
cleaning;-0.26927754684624605
bits;-0.26732846479236594
half;-0.2613636363636364
search;-0.25
pleasure;-0.25
vegis;-0.20833333333333334
palm;-0.20391337869173334
jurors;-0.2034519944341373
restaurant store restaurant front;-0.1875
trips;-0.18609595404535736
dollar;-0.18181818181818185
substitutions;-0.18181818181818182
try;-0.18008410636982064
combination platters;-0.18000000000000002
goo;-0.17176870748299322
produce;-0.15732621645830538
food reports;-0.15367139295228152
visit;-0.14702507378467308
locations;-0.14640074281172094
mistake;-0.144475349976116
Hunan beef Hunan medium Hunan beef Hunan spicy;-0.14393939393939395
beer;-0.1425515500070136
Brother;-0.13585276044443553
veggies;-0.13226626097506344
CA;-0.13211484011108005
surroundings;-0.13047445255474455
method;-0.12867404596467005
bite;-0.12822273395079148
delivery type delivery puffies.I;-0.12692619626926196
months;-0.1258120298834284
hassle;-0.125
contemplation;-0.125
Thursday;-0.1193189788189087
ice ice ice cream;-0.11867313011183302
body;-0.11679555098263711
field;-0.11629421461934515
cream cheese;-0.111827382309288
example;-0.11181125133256195
drinks;-0.11090274777225854
dessert pastries;-0.11066625996806279
office;-0.11034671532846715
day;-0.10759887227872168
steam not steam table;-0.09622946630154117
shot;-0.09500555628247466
feeling;-0.09404013182983136
fruit;-0.08559495580210623
snapper;-0.0834372090947347
Breakfast Bacon Breakfast egg Breakfast Bacon Breakfast croissant;-0.08098502149981122
lunch rush;-0.07918948368651946
no toppings;-0.07772727272727274
way;-0.07053011417467057
light bulbs;-0.06816389669944445
someone;-0.06460041352481272
gathering;-0.06454282129842717
cities;-0.0628159220324135
memories;-0.060592009684604466
food fix;-0.060000000000000005
disappointment;-0.05861091201104341
idea;-0.05837706699640668
result;-0.0561211867772489
Cleanliness;-0.054846938775510196
onion rings;-0.054617869189081236
beverages;-0.05172925392373933
customers;-0.05038133203015801
worker bees;-0.04920417005132516
diet needs;-0.04790418176046154
case;-0.046070500451656525
functions.Location;-0.045000000000000005
couple;-0.03665894162718002
substitute names;-0.03516276242577268
order;-0.0342170784334515
George moments;-0.033317872603586894
whiff;-0.03231966169574316
walk;-0.020339458549586197
rating;-0.019786500260102848
kind;-0.0187239644748806
chemicals;-0.014567239671387355
Tao;-0.010204081632653062
stars;-0.010057651835566289
king pao;-0.009124087591240877
price.Lesson;-0.005000000000000003
restaurant building;-0.004827979338315855
end;-0.002979536934468567
spareribs;0.0
notch;0.0
crab legs!Whenever;0.0
scale;0.0
Culture Center;0.0
tho;0.0
fool;0.0
Fusion;0.0
Cuisine;0.0
carrot slices carrot witch;0.0
not associate;0.0
decades;0.0
basis;0.0
typing;0.0
DROPPING CHOPSTICKS;0.0
kitchen dump;0.0
countryside;0.0
vitamin shopping;0.0
GROSS;0.0
health codes;0.0
mess;0.0
kalbi;0.0
Jew;0.0
gripe;0.0
Ave;0.0
Street;0.0
operation;0.0
gourmet;0.0
bout;0.0
soup.I;0.0018115421742283385
1s;0.0029318195021021715
ice tea;0.0037245090309559873
pans;0.0057582668997118265
kitchen;0.010904363359197533
poop;0.01638544536271809
approach;0.018248175182481754
meat;0.018535075811940176
sauce;0.0195495822429594
food setting;0.02181276249830646
husband;0.021897810218978103
wonton;0.02218042928510472
Chik-Fil-A;0.02299605781865966
man;0.024462581586283016
reason;0.024606013155345656
paragraph;0.025510204081632657
clams;0.025551124208282133
collection;0.027113745807817023
container;0.02720220327005822
amount;0.031587780673218976
spots;0.03297526345755289
rag;0.03611279867472464
environment;0.0363806738113921
diet;0.0364963503649635
QT;0.03700823299096249
years;0.03886846051208409
blocks;0.03890856346917443
sustenance;0.04121319860573627
buffets list;0.04149416764016549
lamp;0.041666666666666664
facility;0.04309164507504724
