Attribute;Sentiment
times;-6.817568998961303
pea;-5.536213059763565
quantities;-5.364376533103586
judgment;-3.87149437745563
person;-3.7606809635840825
minutes;-3.6049596396392043
rest;-3.366551158243009
hair;-3.2150691762859918
attitude;-2.781289600096537
locations;-2.7494336393593377
array;-2.677081684056557
conditions;-2.5321013214556007
pricing;-2.5230872775623796
institution;-2.0365199611821794
method;-2.0214876251820924
floor;-1.783678157242727
tons;-1.7547348484848484
result;-1.6528218963767511
jurors;-1.6276159554730985
coat;-1.3481437602014537
entryway;-1.0962508097916894
kid;-1.0552222073018278
fruit;-1.0430101890167338
gathering;-1.0399015089273194
language;-1.0156329144178229
customers;-0.9068639765428439
produce;-0.786354925231876
bill;-0.7427919254262361
restaurant building;-0.6807191269391041
class;-0.6650000000000001
line;-0.6363868368625096
mistake;-0.577901399904464
shot;-0.570033337694848
try;-0.5402523191094619
water;-0.5167806988461687
pleasure;-0.5
pain;-0.4081632653061225
restaurant store restaurant front;-0.375
example;-0.3681125133256195
dissatisfaction;-0.3516654720662605
standards;-0.34561197729424314
clams;-0.3387349552635587
Brother;-0.27170552088887107
matter;-0.25
diet needs;-0.2395209088023077
tissue;-0.22700394218134035
whiff;-0.19391797017445894
tubes;-0.19182804671788622
changes;-0.17501546072974644
expectations;-0.1707368016980536
food reports;-0.07259339704886056
end;-0.02085675854127997
impression;-0.005000000000000003
community;0.0
cause;0.0
concerns;0.0
set;0.0
anniversary party;0.0
inquest;0.0
children;0.021897810218978103
blood pressure;0.04545454545454546
approach;0.05474452554744526
american;0.06000000000000001
poop;0.06554178145087236
chicken w;0.09389348025711662
refrigerator;0.10910099056600472
door;0.11685182012918083
country;0.12647831800262813
ownership;0.12741157076130974
chop houses;0.1284013605442177
word;0.21418618787113658
state;0.25
mind;0.2718860653408242
letters;0.2807932052770224
guests;0.2916666666666667
chemicals;0.2982721037753579
school;0.30829649982081
improvement;0.3181818181818182
accident;0.3476277372262774
delivery speed;0.36363636363636365
digits;0.492343214017011
consumption;0.4956287361432111
goodies;0.55222681359045
call;0.555239517116801
weekday;0.6745256253527375
start;0.6847836279871192
1s;0.6929522497704315
friends;0.760241537826482
craving;0.7623853882020382
feeling;0.7903741496598641
dinner;0.8195167364792442
rating;0.8412347554536368
shops;0.8770408393758105
cities;0.880665470793232
interest;0.8822167171730716
waste;0.9437324656139828
art;0.9794225641011646
king;1.0
management;1.0048231415226196
light;1.0461554831497166
help;1.125
amount;1.1371601042358823
past;1.1538686131386862
battle;1.1574566128771269
collection;1.2638828403520372
luncheon;1.2740729811293137
sustenance;1.282356392413306
NY style NY Chinese;1.637612132180317
pick;1.7131529643325591
job;1.7161583415446378
trouble;1.7829361878711365
trips;1.9714147700656115
rate;2.0175264396477077
music;2.0457215815247074
way;2.0594055265911724
icecream;2.273763219823854
opening;2.762223907403831
owner;3.394905153566066
areas;3.517381716888764
stuff;3.682751737556219
dining room;3.759043926719836
no comment;3.848539080685473
meat;4.077716678626839
UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE Robyn UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE N;4.103489421227218
mother;4.408113108413132
concept;4.683166817722266
cup;5.496253798746787
Nothing;5.508908116139851
Soup;5.786884875200425
not rib;5.85340540312618
item;7.339891660794295
flavor;7.3747703871517665
dum sum dum situation;7.8955157948666175
people;7.921213574417618
spots;8.80439534316662
service;9.03235989142271
occurrence;9.534133914331893
hand;10.375447174736006
container;10.452181070066297
move;12.319480789190326
waiter;14.111869376419792
appearance;14.149285222717149
Mongolian Grill;14.183537940052457
bahn mi bahn sandwich;14.20848139203964
groups;17.396064956777018
someone;19.56819077624038
beverages;91.7472563141262
